index,n,x,tipo,data,dia,mes,ano,hora,y,z,vel1,vel2,k,s,cod,placa,r,t,y,u,i
74,971,1,2019-02-01 00:00:17,2019-02-01,01,02,2019,00:00:17,00,00,50.0,57.0,2,3.9,bdac46f01,WUN4367,0,0,NULL,NULL,NULL
75,972,2,2019-02-01 00:00:30,2019-02-01,01,02,2019,00:00:30,00,00,50.0,33.0,2,3.9,bdac47752,LLN7021,0,0,NULL,NULL,NULL
76,972,2,2019-02-01 00:00:55,2019-02-01,01,02,2019,00:00:55,00,00,50.0,0.0,1,1.5,bdac48672,,0,0,NULL,NULL,NULL
77,972,2,2019-02-01 00:00:58,2019-02-01,01,02,2019,00:00:58,00,00,50.0,45.0,2,4.1,bdac48892,LOV9241,0,0,NULL,NULL,NULL
78,731,1,2019-02-01 00:00:09,2019-02-01,01,02,2019,00:00:09,00,00,50.0,32.0,2,3.9,bdac469d1,,0,0,NULL,NULL,NULL
79,732,2,2019-02-01 00:00:32,2019-02-01,01,02,2019,00:00:32,00,00,50.0,43.0,4,0.0,bdac47872,,0,0,NULL,NULL,NULL
80,982,2,2019-02-01 00:00:09,2019-02-01,01,02,2019,00:00:09,00,00,50.0,0.0,2,3.9,bdac46a22,KWS3101,0,0,NULL,NULL,NULL
81,982,2,2019-02-01 00:00:26,2019-02-01,01,02,2019,00:00:26,00,00,50.0,43.0,4,11.4,bdac474c2,IIU1311,0,0,NULL,NULL,NULL
82,982,2,2019-02-01 00:00:46,2019-02-01,01,02,2019,00:00:46,00,00,50.0,33.0,2,4.1,bdac48112,LMF7135,0,0,NULL,NULL,NULL
83,518,4,2019-02-01 00:00:12,2019-02-01,01,02,2019,00:00:12,00,00,60.0,50.0,2,3.6,bdac46bd2,ODJ3903,0,0,NULL,NULL,NULL
84,518,4,2019-02-01 00:00:16,2019-02-01,01,02,2019,00:00:16,00,00,60.0,40.0,2,4.5,bdac46e82,,0,0,NULL,NULL,NULL
85,517,3,2019-02-01 00:00:19,2019-02-01,01,02,2019,00:00:19,00,00,60.0,36.0,2,3.8,bdac47001,,0,0,NULL,NULL,NULL
86,517,3,2019-02-01 00:00:20,2019-02-01,01,02,2019,00:00:20,00,00,60.0,38.0,2,3.6,bdac47081,,0,0,NULL,NULL,NULL
87,517,3,2019-02-01 00:00:21,2019-02-01,01,02,2019,00:00:21,00,00,60.0,36.0,2,3.1,bdac47131,,0,0,NULL,NULL,NULL
88,518,4,2019-02-01 00:00:21,2019-02-01,01,02,2019,00:00:21,00,00,60.0,35.0,2,4.5,bdac47152,KWI1111,0,0,NULL,NULL,NULL
89,517,3,2019-02-01 00:00:28,2019-02-01,01,02,2019,00:00:28,00,00,60.0,45.0,2,4.5,bdac475e1,,0,0,NULL,NULL,NULL
90,518,4,2019-02-01 00:00:29,2019-02-01,01,02,2019,00:00:29,00,00,60.0,54.0,2,4.8,bdac47662,LOS4033,0,0,NULL,NULL,NULL
91,517,3,2019-02-01 00:00:32,2019-02-01,01,02,2019,00:00:32,00,00,60.0,45.0,2,4.0,bdac47801,IIX7111,0,0,NULL,NULL,NULL
92,517,3,2019-02-01 00:00:37,2019-02-01,01,02,2019,00:00:37,00,00,60.0,48.0,2,2.6,bdac47ba1,MQI4537,0,0,NULL,NULL,NULL
93,517,3,2019-02-01 00:00:43,2019-02-01,01,02,2019,00:00:43,00,00,60.0,45.0,2,3.6,bdac47f31,,0,0,NULL,NULL,NULL
94,518,4,2019-02-01 00:00:44,2019-02-01,01,02,2019,00:00:44,00,00,60.0,49.0,0,0.0,bdac47fc2,,0,0,NULL,NULL,NULL
95,517,3,2019-02-01 00:00:50,2019-02-01,01,02,2019,00:00:50,00,00,60.0,51.0,2,4.4,bdac483b1,,0,0,NULL,NULL,NULL
96,361,1,2019-02-01 00:00:13,2019-02-01,01,02,2019,00:00:13,00,00,80.0,59.0,2,3.6,bdac46c71,,0,0,NULL,NULL,NULL
97,362,2,2019-02-01 00:00:24,2019-02-01,01,02,2019,00:00:24,00,00,80.0,63.0,2,3.9,bdac47332,,0,0,NULL,NULL,NULL
98,362,2,2019-02-01 00:00:29,2019-02-01,01,02,2019,00:00:29,00,00,80.0,64.0,2,3.7,bdac47692,VVM7117,0,0,NULL,NULL,NULL
99,361,1,2019-02-01 00:00:38,2019-02-01,01,02,2019,00:00:38,00,00,80.0,72.0,2,4.0,bdac47c21,KXM1243,0,0,NULL,NULL,NULL
100,362,2,2019-02-01 00:00:44,2019-02-01,01,02,2019,00:00:44,00,00,80.0,77.0,3,5.6,bdac47fb2,,0,0,NULL,NULL,NULL
